"index","case","datetime","key_value","name","units","value"
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_8C1A09","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",110.382552105396
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_8C1A09","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_87FB35","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.091419342818
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_87FB35","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_8A7124","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.091419342818
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_8A7124","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_AAA4E4","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",23.8879875213817
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_AAA4E4","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.106179053864
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_BB81B1","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",110.357545102651
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_BB81B1","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_6A1CD1","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",24.2089076555281
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_6A1CD1","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.108470405026
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_19CB71","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.09774026792
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_19CB71","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_18F863","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.09774026792
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_18F863","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_E42E53","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",102.221328588308
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_E42E53","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_C2FD0D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",23.8879875213816
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_C2FD0D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.108470405026
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_6C2720","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",110.357545102673
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_6C2720","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074125
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_A2960A","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",23.887987521377
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_A2960A","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.108470405025
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_CDF435","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",103.02115983014
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_CDF435","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_8580C7","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",24.208907655528
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_8580C7","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.104485258395
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_A6C9BD","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.085121206382
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_A6C9BD","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_B4D7D4","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.085123844022
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_B4D7D4","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_1FB167","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",102.19210982056
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_1FB167","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_4B0C75","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.079177691649
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_4B0C75","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",48.9963904424034
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_EC5B03","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.077676581003
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_EC5B03","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0266266089617
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_CDCD3D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",102.449320187782
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_CDCD3D","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",49.0878590074129
1,"Dark_Sparse_No Shade",2017-07-01,"OVERHANG_210899","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",31.1704283791743
1,"Dark_Sparse_No Shade",2017-07-01,"Mir-OVERHANG_210899","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",117.073626299365
1,"Dark_Sparse_No Shade",2017-07-01,"A15EF2","Surface Outside Face Incident Solar Radiation Rate per Area","W/m2",19.751095047959
